road_name,year,road_type,all_motor_vehicles,LGVs,all_HGVs,cars_and_taxis,lgv_share,road_length_km,count_points,log_road_length,log_total_traffic,collision_count,fatal_count,serious_count,slight_count,severe_count
A34,2017,A road,20483.5,2126.8636363636365,336.04545454545456,17477.045454545456,0.10836881924639358,19.2,22,2.954910279033736,9.92737496298947,66,0,8,58,8
A34,2018,A road,19889.545454545456,2079.909090909091,335.95454545454544,16939.227272727272,0.10726657015682738,19.6,22,2.975529566236472,9.897949518622855,53,0,10,43,10
A34,2019,A road,19050.81818181818,2012.8636363636363,340.1363636363636,16175.5,0.10606452922218204,19.6,22,2.975529566236472,9.854865328809366,62,1,7,54,8
A34,2020,A road,13798.045454545454,1791.2272727272727,307.59090909090907,11348.09090909091,0.12696563731393837,19.6,22,2.975529566236472,9.532282227385702,33,2,3,28,5
A34,2021,A road,16021.91304347826,2133.2608695652175,339.82608695652175,13155.478260869566,0.12712548450065658,19.5,23,2.970414465569701,9.681712629440291,38,0,9,29,9
A34,2022,A road,18140.590909090908,2233.5,347.8181818181818,15126.545454545454,0.12272710707794705,19.5,22,2.970414465569701,9.805907298060898,55,1,13,41,14
A34,2023,A road,18580.909090909092,2263.7272727272725,358.59090909090907,15524.227272727272,0.12229386364027083,19.5,22,2.970414465569701,9.829889939637454,42,0,13,29,13
A34,2024,A road,19199.608695652172,2217.608695652174,325.39130434782606,16229.173913043478,0.11889006226221047,19.5,23,2.970414465569701,9.862645177373407,48,0,12,36,12
A49,2017,A road,18450.95,2537.1,511.3,15055.7,0.1406356430251596,18.8,20,2.9338568698359038,9.822871138657987,28,0,7,21,7
A49,2018,A road,18251.35,2431.55,490.5,14999.75,0.1332585982870771,19.5,20,2.970414465569701,9.811994328877539,33,0,7,26,7
A49,2019,A road,18383.95,2390.95,487.5,15183.25,0.12950087942681585,19.5,20,2.970414465569701,9.819233280328529,28,2,5,21,7
A49,2020,A road,14998.8,2115.65,430.1,12230.3,0.14098760232230376,19.5,20,2.970414465569701,9.615725476884176,17,0,3,14,3
A49,2021,A road,16339.363636363636,2309.7272727272725,460.8636363636364,13336.681818181818,0.14143632201436793,22.4,22,3.109060958860994,9.701332422512628,17,0,4,13,4
A49,2022,A road,17506.31818181818,2502.3636363636365,467.77272727272725,14281.09090909091,0.1431026713968201,22.4,22,3.109060958860994,9.770317133713762,15,0,3,12,3
A49,2023,A road,17801.590909090908,2531.318181818182,447.72727272727275,14567.227272727272,0.14252369656639416,22.4,22,3.109060958860994,9.787043109201518,14,0,4,10,4
A49,2024,A road,18077.68181818182,2527.818181818182,421.72727272727275,14870.318181818182,0.14026840800647927,22.4,22,3.109060958860994,9.802433407704617,17,0,8,9,8
A5014,2017,A road,14506,1673,173.25,12334.5,0.11740845613018036,3.1,4,1.1314021114911006,9.582317635923358,4,0,1,3,1
A5014,2018,A road,14138.25,1540,176.5,12128,0.11316853365418389,3.1,4,1.1314021114911006,9.556639169415131,3,0,0,3,0
A5014,2019,A road,14273,1526.75,175.75,12280.5,0.11115456205625147,3.1,4,1.1314021114911006,9.566124919629768,11,0,2,9,2
A5014,2020,A road,10114,1238.5,143.25,8549.75,0.12778813924617902,3.1,4,1.1314021114911006,9.221675881639928,4,0,0,4,0
A5014,2021,A road,11113.25,1350,153.75,9419.25,0.1267873048223837,3.1,4,1.1314021114911006,9.315893369108261,3,0,0,3,0
A5014,2022,A road,12118.75,1450.5,150.5,10296,0.12182714513399362,3.1,4,1.1314021114911006,9.402509118990961,5,0,1,4,1
A5014,2023,A road,12013,1421.25,136.25,10249.75,0.12051569941954965,3.1,4,1.1314021114911006,9.393744675721376,9,1,3,5,4
A5014,2024,A road,12196,1447,136.5,10405,0.1208646721670251,3.1,4,1.1314021114911006,9.408863308108145,4,0,2,2,2
A5062,2017,A road,8352,1188,145,6734,0.14224137931034483,0.2,1,-1.6094379124341003,9.03025631012242,1,0,0,1,0
A5062,2018,A road,7076,639,64,6123,0.09030525720746184,0.2,1,-1.6094379124341003,8.864464055279676,0,0,0,0,0
A5062,2019,A road,7148,633,64,6199,0.08855623950755456,0.2,1,-1.6094379124341003,8.87458787627932,1,0,1,0,1
A5062,2020,A road,5485,559,56,4709,0.10191431175934366,0.2,1,-1.6094379124341003,8.609772372709331,0,0,0,0,0
A5062,2021,A road,6024,609,60,5188,0.10109561752988047,0.2,1,-1.6094379124341003,8.703506769479729,0,0,0,0,0
A5062,2022,A road,6444,660,62,5541,0.10242085661080075,0.2,1,-1.6094379124341003,8.770904744296866,0,0,0,0,0
A5062,2023,A road,6559,671,61,5645,0.10230218021039793,0.2,1,-1.6094379124341003,8.788593431293735,0,0,0,0,0
A5062,2024,A road,6659,683,62,5731,0.10256795314611804,0.2,1,-1.6094379124341003,8.803724602110622,1,0,1,0,1
A5063,2017,A road,22705.428571428572,3219,632.1428571428571,18640.571428571428,0.14516170790250593,4.6000000000000005,7,1.5260563034950494,10.030359318994893,8,0,2,6,2
A5063,2018,A road,23777.714285714286,2681.5714285714284,548.8571428571429,20330.714285714286,0.12260762539384348,4.6000000000000005,7,1.5260563034950494,10.076504046437234,17,0,3,14,3
A5063,2019,A road,24135.85714285714,2547.714285714286,544,20801.714285714286,0.10889905940119449,4.6000000000000005,7,1.5260563034950494,10.091453861980526,8,0,0,8,0
A5063,2020,A road,18694.428571428572,2248.714285714286,478.57142857142856,15800.42857142857,0.12403807389001052,4.6000000000000005,7,1.5260563034950494,9.835980821093765,5,1,1,3,2
A5063,2021,A road,20547.85714285714,2451.285714285714,514.4285714285714,17407.714285714286,0.12303199150374142,4.6000000000000005,7,1.5260563034950494,9.930511939200578,6,0,3,3,3
A5063,2022,A road,21973.85714285714,2657.285714285714,533.8571428571429,18592.85714285714,0.12470291712104362,4.6000000000000005,7,1.5260563034950494,9.997608714049976,3,0,2,1,2
A5063,2023,A road,21833,2646.714285714286,473,18538.714285714286,0.12422278121675896,4.6000000000000005,7,1.5260563034950494,9.991177865663117,5,1,2,2,3
A5063,2024,A road,22161.428571428572,2694,470.2857142857143,18819.85714285714,0.12456365986290142,4.6000000000000005,7,1.5260563034950494,10.006108605003064,5,2,0,3,2
A5066,2017,A road,10192.25,1489,222.5,8338.25,0.14649424273305733,4.5,4,1.5040773967762742,9.229382906553498,8,0,1,7,1
A5066,2018,A road,8986,1258.5,203,7393.5,0.13981033892809291,4.5,4,1.5040773967762742,9.103423089630105,8,0,2,6,2
A5066,2019,A road,8352.75,1122.75,195.75,6921.5,0.13271196923465226,4.5,4,1.5040773967762742,9.03034610494132,7,0,2,5,2
A5066,2020,A road,7143.5,965,117.5,5988.5,0.13462494880907191,4.5,4,1.5040773967762742,8.873958131305212,4,0,1,3,1
