collision_index,collision_year,collision_ref_no,police_force,collision_severity,first_road_class,first_road_number,time,speed_limit,junction_detail,collision_ref_join,road_name,road_type,severity_text,severe,collision_hour,time_period,speed_group,junction_group,lgv_involved,young_driver_involved
2022061195029,2022,061195029,6,2,3,664,14:30:00,30,0,061195029,A664,A road,serious,1,14,daytime,30 mph or below,No junction,0,0
201906J253818,2019,06J253818,6,3,3,626,10:45:00,40,0,06J253818,A626,A road,slight,0,10,daytime,40 mph or above,No junction,0,1
201806A146982,2018,06A146982,6,3,3,34,04:40:00,30,16,06A146982,A34,A road,slight,0,4,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
2023061351891,2023,061351891,6,3,3,6018,16:55:00,30,0,061351891,A6018,A road,slight,0,16,evening_peak,30 mph or below,No junction,0,0
2023060186706,2023,060186706,6,2,1,62,18:10:00,70,0,060186706,M62,Motorway,serious,1,18,evening_peak,40 mph or above,No junction,0,0
201806A148084,2018,06A148084,6,3,3,56,18:07:00,30,16,06A148084,A56,A road,slight,0,18,evening_peak,30 mph or below,Crossroads or larger junction,0,0
2023061332632,2023,061332632,6,2,3,6,09:18:00,30,0,061332632,A6,A road,serious,1,9,morning_peak,30 mph or below,No junction,0,0
2022061169526,2022,061169526,6,3,3,555,14:15:00,30,0,061169526,A555,A road,slight,0,14,daytime,30 mph or below,No junction,0,0
2023061374668,2023,061374668,6,3,3,49,12:00:00,30,13,061374668,A49,A road,slight,0,12,daytime,30 mph or below,T or staggered junction,0,0
201806L250907,2018,06L250907,6,3,3,577,16:51:00,30,13,06L250907,A577,A road,slight,0,16,evening_peak,30 mph or below,T or staggered junction,0,0
2023061377020,2023,061377020,6,3,3,572,20:00:00,30,13,061377020,A572,A road,slight,0,20,night_or_off_peak,30 mph or below,T or staggered junction,0,0
2021061086196,2021,061086196,6,3,3,6,18:40:00,30,16,061086196,A6,A road,slight,0,18,evening_peak,30 mph or below,Crossroads or larger junction,0,0
2023061344311,2023,061344311,6,3,3,573,21:50:00,30,0,061344311,A573,A road,slight,0,21,night_or_off_peak,30 mph or below,No junction,0,1
201906XF58576,2019,06XF58576,6,3,1,60,17:30:00,70,0,06XF58576,M60,Motorway,slight,0,17,evening_peak,40 mph or above,No junction,0,0
201706X027304,2017,06X027304,6,3,1,62,06:55:00,70,0,06X027304,M62,Motorway,slight,0,6,night_or_off_peak,40 mph or above,No junction,0,0
2022061246134,2022,061246134,6,3,3,6053,18:10:00,30,0,061246134,A6053,A road,slight,0,18,evening_peak,30 mph or below,No junction,0,0
2024061476609,2024,061476609,6,3,3,663,14:30:00,40,0,061476609,A663,A road,slight,0,14,daytime,40 mph or above,No junction,0,0
202006L174894,2020,06L174894,6,3,3,577,07:01:00,30,13,06L174894,A577,A road,slight,0,7,morning_peak,30 mph or below,T or staggered junction,0,0
2023061382126,2023,061382126,6,1,3,6144,20:30:00,30,0,061382126,A6144,A road,fatal,1,20,night_or_off_peak,30 mph or below,No junction,0,1
201806K351953,2018,06K351953,6,2,3,676,18:20:00,30,18,06K351953,A676,A road,serious,1,18,evening_peak,30 mph or below,Other or unknown junction,0,0
202006K375489,2020,06K375489,6,3,3,6053,16:15:00,30,13,06K375489,A6053,A road,slight,0,16,evening_peak,30 mph or below,T or staggered junction,0,0
201806XN40619,2018,06XN40619,6,3,1,62,08:50:00,70,0,06XN40619,M62,Motorway,slight,0,8,morning_peak,40 mph or above,No junction,0,0
202006F169868,2020,06F169868,6,3,3,575,08:00:00,30,0,06F169868,A575,A road,slight,0,8,morning_peak,30 mph or below,No junction,0,0
2021061039052,2021,061039052,6,3,3,58,14:00:00,30,16,061039052,A58,A road,slight,0,14,daytime,30 mph or below,Crossroads or larger junction,0,0
2023061387574,2023,061387574,6,3,3,6042,12:00:00,30,16,061387574,A6042,A road,slight,0,12,daytime,30 mph or below,Crossroads or larger junction,0,0
201706Q034520,2017,06Q034520,6,3,3,635,05:50:00,40,13,06Q034520,A635,A road,slight,0,5,night_or_off_peak,40 mph or above,T or staggered junction,0,0
201806M142372,2018,06M142372,6,2,3,56,22:15:00,30,16,06M142372,A56,A road,serious,1,22,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
201806A339957,2018,06A339957,6,2,3,6010,00:15:00,30,16,06A339957,A6010,A road,serious,1,0,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
2023061360065,2023,061360065,6,2,3,579,07:14:00,30,17,061360065,A579,A road,serious,1,7,morning_peak,30 mph or below,Crossroads or larger junction,1,0
2021061140373,2021,061140373,6,3,1,60,19:15:00,70,0,061140373,M60,Motorway,slight,0,19,night_or_off_peak,40 mph or above,No junction,0,0
2024061530453,2024,061530453,6,2,3,6053,04:59:00,20,0,061530453,A6053,A road,serious,1,4,night_or_off_peak,30 mph or below,No junction,0,0
201806XM43658,2018,06XM43658,6,3,1,60,11:40:00,70,0,06XM43658,M60,Motorway,slight,0,11,daytime,40 mph or above,No junction,0,0
202006Q166928,2020,06Q166928,6,3,3,627,17:25:00,50,0,06Q166928,A627,A road,slight,0,17,evening_peak,40 mph or above,No junction,0,0
202106F080187,2021,06F080187,6,3,3,57,05:18:00,40,0,06F080187,A57,A road,slight,0,5,night_or_off_peak,40 mph or above,No junction,0,0
201906XG59214,2019,06XG59214,6,3,1,67,11:16:00,70,0,06XG59214,M67,Motorway,slight,0,11,daytime,40 mph or above,No junction,1,0
2022061183975,2022,061183975,6,3,3,34,11:51:00,50,0,061183975,A34,A road,slight,0,11,daytime,40 mph or above,No junction,0,0
2021061067044,2021,061067044,6,3,3,6051,17:20:00,30,13,061067044,A6051,A road,slight,0,17,evening_peak,30 mph or below,T or staggered junction,0,0
201906F153299,2019,06F153299,6,2,3,6,06:53:00,30,13,06F153299,A6,A road,serious,1,6,night_or_off_peak,30 mph or below,T or staggered junction,0,0
202106K079841,2021,06K079841,6,3,3,675,07:17:00,30,13,06K079841,A675,A road,slight,0,7,morning_peak,30 mph or below,T or staggered junction,0,0
2021061095782,2021,061095782,6,3,3,6,12:40:00,30,0,061095782,A6,A road,slight,0,12,daytime,30 mph or below,No junction,0,0
201906F154087,2019,06F154087,6,3,3,57,18:04:00,50,0,06F154087,A57,A road,slight,0,18,evening_peak,40 mph or above,No junction,0,0
202006G167127,2020,06G167127,6,3,3,627,13:45:00,30,0,06G167127,A627,A road,slight,0,13,daytime,30 mph or below,No junction,0,0
2022061187223,2022,061187223,6,3,1,61,16:25:00,70,0,061187223,M61,Motorway,slight,0,16,evening_peak,40 mph or above,No junction,0,0
2024061460692,2024,061460692,6,2,3,5081,11:55:00,40,0,061460692,A5081,A road,serious,1,11,daytime,40 mph or above,No junction,0,0
201706J032475,2017,06J032475,6,3,3,626,14:10:00,30,0,06J032475,A626,A road,slight,0,14,daytime,30 mph or below,No junction,1,0
201806N146658,2018,06N146658,6,3,3,58,15:45:00,30,0,06N146658,A58,A road,slight,0,15,daytime,30 mph or below,No junction,0,0
2023061310868,2023,061310868,6,3,3,6,12:00:00,30,13,061310868,A6,A road,slight,0,12,daytime,30 mph or below,T or staggered junction,0,0
2023061278225,2023,061278225,6,3,3,34,11:30:00,40,16,061278225,A34,A road,slight,0,11,daytime,40 mph or above,Crossroads or larger junction,0,0
201906P159753,2019,06P159753,6,2,3,640,13:57:00,30,13,06P159753,A640,A road,serious,1,13,daytime,30 mph or below,T or staggered junction,1,0
2022061260948,2022,061260948,6,2,3,62,14:30:00,30,0,061260948,A62,A road,serious,1,14,daytime,30 mph or below,No junction,1,0
201806P250783,2018,06P250783,6,3,3,664,19:50:00,30,13,06P250783,A664,A road,slight,0,19,night_or_off_peak,30 mph or below,T or staggered junction,0,1
201806A141503,2018,06A141503,6,3,3,665,15:40:00,30,13,06A141503,A665,A road,slight,0,15,daytime,30 mph or below,T or staggered junction,0,0
2021061047800,2021,061047800,6,3,3,5067,18:55:00,30,16,061047800,A5067,A road,slight,0,18,evening_peak,30 mph or below,Crossroads or larger junction,0,0
201706M027102,2017,06M027102,6,3,3,538,09:53:00,30,16,06M027102,A538,A road,slight,0,9,morning_peak,30 mph or below,Crossroads or larger junction,0,0
